1,0,                     is so sad for my APL friend.............
2,0,                   I missed the New Moon trailer...
3,1,              omg its already 7:30 :O
4,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
5,0,         i think mi bf is cheating on me!!!       T_T
6,0,         or i just worry too much?        
7,1,       Juuuuuuuuuuuuuuuuussssst Chillin!!
8,0,       Sunny Again        Work Tomorrow  :-|       TV Tonight
9,1,      handed in my uniform today . i miss you already
10,1,      hmmmm.... i wonder how she my number @-)
11,0,      I must think about positive..
12,1,      thanks to all the haters up in my face all day! 112-102
13,0,      this weekend has sucked so far
14,0,     jb isnt showing in australia any more!
15,0,     ok thats it you win.
16,0,    &lt;-------- This is the way i feel right now...
17,0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
